id,name,ingredients,steps
10,Beef goulash with Carlsbad dumplings,"Bay leaf, Crushed cumin, Whole beef shoulder, Carlsbad dumpling, Sliced onion, Butter, Milk, Ground nutmeg, Black pepper, Flat-leaf parsley, Tomato paste, Rolls, Fat, Sweet paprika, Salt, Dried marjoram, Egg","Coarsely chop the onion. Once the meat is soft, mix the marjoram in the palms of your hands into the stew, add salt and pepper as needed, stir and cook for 5 minutes. Let the finished stew rest for at least 15 minutes, then return the casserole to a higher heat, add the meat and sauté, stirring frequently, until the bottom of the casserole has evaporated all the juices that the meat has released. Once there is only fat left on the bottom of the casserole, turn the heat down to medium and sauté the meat for another 5 minutes, stirring frequently, until golden brown. Stir everything thoroughly with a flat spoon from the bottom of the casserole to dissolve the mixture. Bring to the boil, cover with a lid, turn the heat down to low and simmer on a very low heat."
11,Cake with nuts,"Cocoa, Coffee suitable for this dish, Coarse flour, Cocoa powder, Flour, Milk, Butter, Flour, Eggs, Walnuts","The egg white snow must be so stiff that it does not fall out of the bowl when turned upside down.

After baking, stick a skewer into the cake. If a sticky batter appears on the skewer, bake the cake for another 5 minutes and repeat the test with the skewer.

If the cake cannot be turned out, cover the inverted mould with a cold wet cloth. After a while
it will release itself. However, you won't need such help if you grease the mould thoroughly
with lard instead of oil or butter. You can also dust it with breadcrumbs instead of flour.

You can add raisins to the dough.

You can brush the still hot cake with melted butter and immediately sprinkle with icing sugar.Pour the batter into the prepared tin, place in the preheated oven and bake for 35-40 minutes. After baking, immediately turn the cake out of the tin onto a wire rack. After cooling, sprinkle the cake with icing sugar., Heat the oven to 160 °C. Heat the butter in a saucepan. Bake the"
12,Pea cream soup,"Onion, Semolina sugar, Chicken broth, Butter, Mint, Frozen peas, Black pepper, Leek, Whipping cream (min. 31%), Salt, Sour cream","If you want the soup to get a fresh green colour, you must not cook the peas for a long time, as they turn grey when cooked for longer.

You can serve the soup with toasted croutons made from rolls or buns, finely chop the leeks and onions. Heat 70 g butter in a saucepan over medium heat, add the leeks and onions, stir, cover with a lid and simmer for 3 minutes. Stir again, add the mint leaves, the remaining butter and blend the soup thoroughly in a blender. Then strain it through a colander into a clean pot. Just reheat the soup briefly before serving and season with salt if necessary., Add the frozen peas, increase the heat and stir thoroughly for 2 minutes. Pour in the boiling stock, season with salt and pepper, add sugar and bring to the boil. Add the sweet and sour cream, bring to the boil again and remove the saucepan from the heat."
14,Chicken soup with coconut milk,"Fresh Coriander, Red Chilli, Garlic, Spring Onion, Coconut Milk, Skinless Chicken Breast, Chicken Broth, Lime, Fish Sauce, Salt, Brown Sugar Cane, Ginger","Remove the meat from the pot and cut into 1 cm thick slices. Strain the finished broth through a fine sieve into a clean pot, bring the seasoned broth to a boil, add the ginger and coconut milk and bring to a boil again. Add the chopped coriander, the chopped meat from the seasoned stock and the sugar, stir, bring to the boil and cook for 3 minutes, Add the lime juice, stir, add the fish sauce, bring to the boil again and cook for a further 3 minutes. Add salt to taste. Add the spring onions and chilli, stir and remove from the heat., Put the ingredients for the stock in a saucepan, bring to the boil, skim off the foam and cook uncovered over a low heat for 15 minutes. Then remove from the heat and let stand for 20 minutes. The rest of the seasoned broth can be frozen or more can be prepared."
15,Chicken broth,"Bay leaf, Black pepper whole, Fresh thyme, Garlic, Onion, Chicken wings, Chicken necks, Chicken skeleton, Carrots, Allspice whole, Flat leaf parsley, Leek, Celery stalks, Salt","Strain the finished broth through a fine sieve and boil to a volume of about 3 litres. Once the broth has cooled, skim the fat from the surface and discard it.Rinse the necks and wings thoroughly under running water and place them in a large pot with the skins and browned skeletons. Cover with water so that everything is submerged and bring to the boil. Skim off any foam that forms on the surface. Add the pepper, salt, allspice, thyme and bay leaf. Turn the heat down to low and cook for 75 minutes. Add the chopped vegetables, onion, garlic and flat-leaved parsley. Bring to the boil over a medium heat, reduce the heat to minimum, skim off the foam and cook for 45 minutes.

Once cooled, remove the fat from the broth and refrigerate the broth or put it in the fridge for a few minutes."
16,Couscous with dried fruit,"Star anise, Lemon, Pomegranate, Couscous, Almond slices, Mint, Unsalted pistachios, Olive oil, Black pepper, Pine nuts, Flat leaf parsley, Raisins, Shredded coconut, Salt, Dried apricots, Cinnamon roll","Bring 600 ml of water to the boil with the star anise, cinnamon and 1 tablespoon of salt. Once the water starts to bubble, pour it into the bowl with the couscous. Add 2 tablespoons of olive oil, mix thoroughly, cover with a lid or inverted plate and leave to stand until all the water has been absorbed and the couscous is soft. Take out the star anise and cinnamon and discard them, cut open the pomegranate and use a spoon to scoop out the seeds. Remove any white pulp. Finely chop the apricots and coarsely chop the pistachios. Stir the pine seeds, pistachios, almond slices, dried fruit, coconut, chopped herbs, pomegranate seeds and lemon zest and juice into the finished couscous. Stir in the remaining olive oil, season with salt and pepper to taste, and toss to mix.Place the couscous in a large bowl.Heat a skillet over medium heat and dry fry the shredded coconut, stirring constantly, until light golden. Place the finished coconut in a bowl to cool."
17,Szeged goulash,"Garlic, Onion, Smooth flour, Cauliflower dumplings, Ground cumin, Sauerkraut, Lard, Sweet paprika, Bacon, Salt, Pork shoulder (whole or cubed), Suitable beer, Sour cream","Cut the meat into 2 cm cubes. Cut the bacon into 1 cm cubes. Finely chop the onion. Squeeze the cabbage out of the brine and roughly slice. Peel and crush the garlic, add the fried bacon and cabbage and simmer for another 30 minutes or until the meat is tender. Stir occasionally. Add the sour cream, stir and cook over low heat for 3 minutes. Add salt to taste, reduce heat to below half, add sweet paprika and sauté for 1 minute. Add the flour and stir fry for 1 minute. Add 1 teaspoon salt, 1.4 litres of water and bring to the boil. Lower the heat to below one-third, cover with a lid and simmer for 30 minutes. Add the lard and caraway seeds to the casserole and stir. Reduce the heat to half, add the onion and sauté, stirring occasionally, for 15 minutes. Add the meat, increase the heat and sear for 5 minutes, stirring frequently. Add the garlic and stir"
18,Meatloaf,"Baguette, Potatoes type A, B, C, Garlic, Bread, Onion, Crushed cumin, Milk, Ground beef, Ground pork, Black pepper , Rolls, Salt, Dried marjoram, Eggs, Suitable beer","Place the minced meat in a larger bowl, add the soaked bread, the remaining ingredients and mix thoroughly. With wet hands, shape the meat mixture into a doughnut. Smooth it, brush the surface with water and place in a baking dish. Beef only tends to be dry and crumbles. You can thicken the meatloaf mixture with breadcrumbs or add a little water as needed.

Freshly crushed cumin will give the meatloaf a stronger and better taste than bought ground. You can beat it in an old mortar.

Literally flatten the meatloaf so that the meat mass is well combined and no air bubbles remain. The baked meatloaf should be soft, springy and juicy.

You can add thyme or red pepper to the meatloaf to taste, or you can cover the surface with slices of bacon.

You can add hard-boiled eggs to the meatloaf before baking, or add diced cubes of bacon and onion."
19,Indian chicken,"Whole chicken, Curry spices, Butter, Hot peppers, Black pepper , Rice, Sweet peppers, Creamy white yoghurt, Salt, Wine suitable for poultry meat","Mix the yoghurt thoroughly with the spices and salt.The chicken must be left to rest in the marinade for at least 12 hours, thanks to which the dish will acquire its unique flavour.

The chicken is best with steamed rice. Then brush it thoroughly with the spiced yoghurt all over (including the cuts). Place the chicken in a bowl, cover with cling film and put in the fridge overnight., Place the butter cut into cubes on a baking tray, add hot water to a height of 0,5 cm and place the chicken in the tray with all the yoghurt in which the chicken has been marinated., Place the tray in a preheated oven and bake for 75 minutes, or until the thigh bone is cooked through without resistance. During baking, baste the chicken several times with the fat., Heat the oven to 180 °C."
20,Beef spit on mushrooms,"Potatoes type A, B, C, Onions, Smooth flour, Beef roast, Beef broth, Butter, Vinegar, Black pepper , Flat leaf parsley, Rice, Fat, Fresh mushroom mix, Salt, Dried mushrooms, Pasta, Wine suitable for beef","Clean the fresh mushrooms, roughly chop the larger ones, leave the smaller ones whole. In a non-stick frying pan on high heat, fry 30 g of butter and fry the mushrooms until golden brown. Just 2-3 minutes. Season with salt and pepper and add them to the mushrooms after about 30 minutes of stewing. Pour in the rest of the broth, cover with a lid and simmer over very low heat until tender. Salt and pepper the meat slices and dust both sides with flour., The length of time for which you want to simmer the sprats depends on the type, quality and age of the meat. For example, you will stew the roasts from a bull for a shorter time than the roasts from a cow. The meat from a bull or heifer is also tastier.

Sauté fresh mushrooms in a larger pan, so they don't release water and start to stew.

By the time you add the cold butter to the sauce, the sauce must no longer be boiling.

It's a good idea to cut the butter into smaller cubes - gradually stir them into the sauce.
Butter"
